player_id,year,school,conference,division,Jersey,Player,Yr,Pos,GP,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,teamid,conference_id,player_url
1884387.0,2017,Cornell,Ivy League,1,28,"Cintron, Nick",Fr,P,1.0,1.0,,0.0,1.0,0.0,,,0.0,1.0,,4.0,3.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884387
1439148.0,2016,Cornell,Ivy League,1,5,"Lowell, Eliot",Sr,INF,30.0,3.0,,16.88,2.2,4.0,5.0,5.0,2.0,2.0,,14.0,11.0,1.0,,,1.0,1.0,1.0,,3.0,,,,43.0,3.0,2.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439148
1779081.0,2016,Cornell,Ivy League,1,34,"Morris, Parker",Fr,OF,20.0,2.0,,13.5,0.2,2.0,1.0,1.0,4.0,1.0,,8.0,4.0,,,,,3.0,,,1.0,,,,27.0,,1.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779081
1779083.0,2016,Cornell,Ivy League,1,23,"Flynn, Jamie",Jr,P,15.0,15.0,,6.5,18.0,20.0,15.0,13.0,8.0,23.0,,89.0,74.0,3.0,2.0,,1.0,7.0,6.0,1.0,15.0,4.0,,1.0,74.0,16.0,13.0,,,,5.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779083
1652395.0,2016,Cornell,Ivy League,1,26,"Lewis, Justin",So,P,14.0,14.0,4.0,3.63,39.2,45.0,17.0,16.0,21.0,29.0,,181.0,155.0,7.0,2.0,,2.0,6.0,4.0,,9.0,1.0,,,54.0,55.0,25.0,2.0,1.0,3.0,9.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652395
1546994.0,2016,Cornell,Ivy League,1,7,"Soltis, Scott",Jr,P,13.0,13.0,2.0,8.35,18.1,26.0,20.0,17.0,2.0,7.0,,86.0,81.0,5.0,,,3.0,3.0,1.0,,14.0,8.0,1.0,1.0,99.0,29.0,17.0,,5.0,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546994
1547000.0,2016,Cornell,Ivy League,1,29,"Willittes, Tim",Jr,P,13.0,13.0,9.0,7.46,44.2,61.0,40.0,37.0,16.0,40.0,,215.0,186.0,16.0,5.0,,4.0,8.0,8.0,,2.0,2.0,2.0,3.0,198.0,32.0,55.0,2.0,5.0,1.0,12.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547000
1439152.0,2016,Cornell,Ivy League,1,28,"Byrne, Michael",Sr,P,12.0,12.0,5.0,4.0,36.0,30.0,18.0,16.0,26.0,28.0,,163.0,129.0,8.0,,,,6.0,4.0,,7.0,4.0,3.0,1.0,115.0,42.0,27.0,4.0,2.0,,8.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439152
1546996.0,2016,Cornell,Ivy League,1,3,"Smith, Jamie",Jr,OF,12.0,7.0,,7.36,7.1,9.0,6.0,6.0,6.0,7.0,,39.0,32.0,5.0,,,,2.0,1.0,,12.0,4.0,,,,2.0,13.0,,,,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546996
1779079.0,2016,Cornell,Ivy League,1,13,"Saks, Adam",Fr,P,11.0,11.0,,9.45,13.1,16.0,16.0,14.0,7.0,10.0,,66.0,55.0,4.0,,,1.0,2.0,3.0,,4.0,2.0,,1.0,40.0,12.0,15.0,,,,4.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779079
