Name,Exit Velocity,Ball Velocity,Launch Angle,Exit Direction,Spin,Distance,S Zone X,S Zone Y,,,,,,
Russell,91.5 ,85.7 ,6.0 ,-17.3,1167 ,109 ,11.3 ,30.0 ,,,,,,
L Charles,82.6 ,84.7 ,8.7 ,-5.2,573 ,145 ,0.6 ,26.2 ,,,,,,
L Charles,75.1 ,83.3 ,45.9 ,10.4,4309 ,241 ,2.5 ,48.7 ,,,,,,
L Charles,77.2 ,83.3 ,40.9 ,7.7,4210 ,264 ,-0.9 ,45.5 ,,,,,,
L Charles,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
L Charles,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
L Charles,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Ross,96.8 ,84.0 ,21.5 ,27.1,4442 ,358 ,-14.2 ,37.4 ,,,,,,
Ross,97.9 ,86.1 ,-7.2 ,10.5,2121 ,12 ,-3.4 ,19.3 ,,,,,,
Ross,NA,82.9 ,NA,NA,NA,NA,NA,NA,,,,,,
Ross,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Ross,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,90.8 ,81.9 ,17.8 ,20.9,3457 ,284 ,2.8 ,24.4 ,,,,,,
Collins,96.8 ,91.5 ,0.7 ,-8.1,1435 ,48 ,10.5 ,28.5 ,,,,,,
Collins,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,92.2 ,83.3 ,10.8 ,-17.7,833 ,170 ,-2.6 ,22.2 ,,,,,,
Collins,NA,89.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,73.5 ,83.6 ,49.1 ,21.2,2772 ,233 ,1.5 ,18.6 ,,,,,,
Collins,81.7 ,86.1 ,43.3 ,36.9,500 ,302 ,-10.0 ,42.0 ,,,,,,
Collins,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,88.0 ,85.7 ,31.7 ,10.5,3640 ,322 ,-2.7 ,30.2 ,,,,,,
Collins,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,83.5 ,85.4 ,38.1 ,3.2,3876 ,295 ,1.6 ,33.6 ,,,,,,
Collins,NA,90.8 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,89.3 ,84.0 ,-9.3 ,-27.7,500 ,9 ,21.2 ,16.2 ,,,,,,
Collins,95.1 ,83.3 ,13.9 ,18.7,2848 ,258 ,6.1 ,19.4 ,,,,,,
Collins,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Collins,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,80.9 ,84.0 ,3.7 ,-30.7,500 ,68 ,8.8 ,23.8 ,,,,,,
Hollerbach,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,90.6 ,85.7 ,6.8 ,4.1,801 ,147 ,-6.0 ,27.7 ,,,,,,
Hollerbach,81.5 ,85.7 ,-2.7 ,-18.2,2454 ,22 ,-2.5 ,26.9 ,,,,,,
Hollerbach,80.9 ,86.1 ,25.3 ,24.4,3807 ,265 ,-3.3 ,29.6 ,,,,,,
Hollerbach,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,93.9 ,85.7 ,-5.9 ,-8.9,1208 ,15 ,1.8 ,23.1 ,,,,,,
Hollerbach,91.6 ,85.4 ,15.8 ,11,2661 ,287 ,-0.3 ,24.2 ,,,,,,
Hollerbach,91.5 ,90.5 ,23.5 ,26.4,3680 ,318 ,-6.8 ,31.0 ,,,,,,
Hollerbach,78.6 ,85.7 ,17.1 ,18.5,2473 ,213 ,-0.1 ,23.6 ,,,,,,
Hollerbach,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,84.0 ,86.1 ,-1.6 ,-18.3,1743 ,29 ,4.1 ,21.1 ,,,,,,
Hollerbach,90.4 ,85.0 ,-5.0 ,-2.7,1048 ,17 ,4.4 ,23.1 ,,,,,,
Hollerbach,95.8 ,84.3 ,29.1 ,-5.9,2220 ,382 ,1.8 ,27.8 ,,,,,,
Hollerbach,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Hollerbach,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,99.9 ,83.3 ,26.6 ,8,2054 ,408 ,-0.6 ,32.2 ,,,,,,
Giuliano,92.1 ,85.4 ,24.6 ,-0.6,1683 ,360 ,2.8 ,29.6 ,,,,,,
Giuliano,60.8 ,85.4 ,64.6 ,-52.5,2951 ,132 ,-5.9 ,25.3 ,,,,,,
Giuliano,58.5 ,83.3 ,72.6 ,-111.8,500 ,82 ,44.0 ,9.4 ,,,,,,
Giuliano,69.3 ,83.3 ,84.1 ,-142.7,2737 ,18 ,28.4 ,-7.3 ,,,,,,
Giuliano,62.3 ,86.1 ,47.3 ,-30.8,2777 ,193 ,8.6 ,40.3 ,,,,,,
Giuliano,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,NA,88.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,85.6 ,84.3 ,31.2 ,9.8,1952 ,336 ,-0.1 ,31.8 ,,,,,,
Giuliano,87.8 ,84.0 ,42.3 ,-7.3,3633 ,311 ,3.9 ,40.3 ,,,,,,
Giuliano,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,80.9 ,83.6 ,59.2 ,-9.6,2304 ,210 ,2.9 ,33.6 ,,,,,,
Giuliano,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,96.3 ,85.7 ,29.7 ,15.5,3668 ,376 ,0.8 ,30.9 ,,,,,,
Giuliano,NA,96.8 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Giuliano,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Diaz,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Diaz,82.7 ,84.7 ,25.1 ,13.1,1505 ,308 ,-2.6 ,29.5 ,,,,,,
Diaz,98.8 ,84.0 ,21.3 ,-0.4,2170 ,380 ,5.3 ,30.6 ,,,,,,
Diaz,48.5 ,82.6 ,13.5 ,48.8,2577 ,68 ,14.9 ,39.0 ,,,,,,
Diaz,91.0 ,83.6 ,11.5 ,29.3,3265 ,215 ,-2.0 ,33.3 ,,,,,,
Diaz,84.8 ,83.3 ,37.8 ,0.2,3424 ,312 ,-0.3 ,20.9 ,,,,,,
Diaz,54.8 ,84.7 ,77.6 ,-102.4,1895 ,20 ,42.0 ,-1.4 ,,,,,,
Diaz,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,88.2 ,83.3 ,6.8 ,-9.7,304 ,123 ,7.5 ,30.2 ,,,,,,
Matton,88.7 ,85.7 ,-3.9 ,-26.3,3212 ,20 ,4.5 ,25.8 ,,,,,,
Matton,98.4 ,84.3 ,-3.0 ,1.8,1392 ,27 ,-3.0 ,27.4 ,,,,,,
Matton,70.2 ,86.1 ,-11.5 ,-4.8,2413 ,6 ,-4.6 ,23.4 ,,,,,,
Matton,NA,96.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,94.1 ,85.0 ,10.2 ,16.3,2839 ,229 ,-2.6 ,25.8 ,,,,,,
Matton,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,82.9 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,82.7 ,83.6 ,15.5 ,-0.6,1162 ,217 ,-0.1 ,30.4 ,,,,,,
Matton,69.3 ,83.6 ,5.7 ,-1,519 ,82 ,-4.0 ,24.4 ,,,,,,
Matton,78.7 ,85.4 ,-6.5 ,-23.9,500 ,13 ,3.9 ,23.8 ,,,,,,
Matton,74.5 ,85.7 ,25.0 ,5,2713 ,251 ,-1.3 ,28.0 ,,,,,,
Matton,NA,82.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Matton,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,61.1 ,83.3 ,61.5 ,40.1,480 ,156 ,4.3 ,30.3 ,,,,,,
Garza,60.5 ,85.4 ,47.9 ,19.7,4088 ,175 ,-3.3 ,15.3 ,,,,,,
Garza,97.5 ,86.4 ,2.5 ,-8.6,803 ,70 ,-2.1 ,27.0 ,,,,,,
Garza,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,98.1 ,83.6 ,23.6 ,0.5,2215 ,382 ,0.3 ,31.8 ,,,,,,
Garza,89.4 ,84.3 ,41.0 ,-3.7,4408 ,294 ,7.3 ,26.4 ,,,,,,
Garza,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Garza,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Lepper,99.2 ,85.7 ,10.7 ,7.1,1171 ,272 ,-0.6 ,27.7 ,,,,,,
Lepper,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Lepper,65.1 ,78.4 ,70.8 ,-4.7,500 ,131 ,-4.1 ,53.9 ,,,,,,
Lepper,NA,89.8 ,NA,NA,NA,NA,NA,NA,,,,,,
Lepper,79.7 ,83.3 ,27.6 ,-28.7,500 ,246 ,8.8 ,44.1 ,,,,,,
Lepper,87.2 ,85.0 ,17.2 ,9.7,5000 ,299 ,1.3 ,28.9 ,,,,,,
Lepper,NA,89.8 ,NA,NA,NA,NA,NA,NA,,,,,,
Lepper,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
